run,subrun,evt
18255,1,235255
18259,1,12727
18255,1,443235
18259,1,191594
18255,1,124954
18255,1,492197
18255,1,425046
18255,1,251717
18350,1,21332
18350,1,19440
18367,1,33212
18255,1,258401
18259,1,101004
18255,1,499678
18255,1,151424
18255,1,341636
18255,1,130472
18255,1,378315
18255,1,514666
18255,1,117002
18345,1,406831
18255,1,82763
18255,1,346564
18259,1,260797
18255,1,407114
18255,1,284153
18255,1,99554
18255,1,149790
18255,1,120222
18388,1,168742
18314,1,36577
18255,1,516198
18259,1,28636
18255,1,229608
18255,1,390573
18264,1,504307
18255,1,196330
18255,1,30488
18255,1,31616
18259,1,173545
18259,1,15234
18259,1,40914
18255,1,280884
18255,1,137564
18255,1,228359
18388,1,364861
18358,1,18812
18255,1,329701
18259,1,138762
18255,1,227289
18268,1,188175
18255,1,265417
18255,1,468795
18342,1,88523
18269,1,33147
18255,1,512565
18268,1,24019
18259,1,157170
18259,1,244464
18259,1,188576
18255,1,93311
18412,1,260468
18334,1,546235
18255,1,178923
18259,1,232449
18255,1,306893
18255,1,457113
18255,1,359385
18342,1,81921
18259,1,237181
18259,1,226363
18255,1,23689
18255,1,450387
18255,1,515773
18390,1,724296
18259,1,150593
18270,1,615268
18279,1,412981
18351,1,106726
18259,1,138660
18327,1,278195
18255,1,372764
18358,1,31891
18255,1,176295
18259,1,50182
18255,1,285596
18306,1,41247
18255,1,494747
18255,1,221829
18351,1,12129
18259,1,5845
18255,1,451816
18255,1,87832
18255,1,131989
18255,1,415105
18255,1,291742
18345,1,47434
18351,1,230699
18259,1,202147
18255,1,122223
18259,1,1271
18255,1,410698
18259,1,95690
18255,1,132556
18255,1,5826
18355,1,43903
18255,1,299818
18255,1,114705
18255,1,314780
18255,1,464581
18255,1,166163
18259,1,181436
18255,1,494996
18255,1,512469
18255,1,25118
18259,1,38272
18259,1,193403
18255,1,39866
18259,1,225443
18255,1,340641
18255,1,25590
18259,1,94329
18255,1,193372
18259,1,61052
18255,1,186207
18255,1,335063
18259,1,23604
18255,1,484292
18255,1,341236
18259,1,17325
18255,1,116445
18255,1,64518
18329,1,207585
18255,1,294412
18259,1,299
18255,1,158140
18255,1,405304
18259,1,127650
18270,1,647853
18255,1,166946
18255,1,361629
18271,1,354481
18255,1,77801
18255,1,415603
18351,1,145181
18271,1,549642
18255,1,463205
18255,1,179821
18259,1,248849
18345,1,566455
18261,1,287723
18255,1,333812
18255,1,239790
18255,1,32749
18255,1,333271
18279,1,469016
18255,1,124815
18255,1,133484
18255,1,463962
18259,1,49377
18259,1,54214
18259,1,247356
18350,1,19191
18259,1,66707
18259,1,38985
18385,1,49110
18255,1,303577
18259,1,187886
18259,1,147964
18259,1,15092
18255,1,115105
18255,1,278124
18255,1,211940
18255,1,363806
18255,1,67679
18255,1,28631
18326,1,204160
18255,1,335808
18255,1,209022
18255,1,103391
18364,1,410748
18255,1,53620
18259,1,95621
18364,1,222438
18255,1,163283
18259,1,129206
18259,1,160824
18259,1,264512
18255,1,475846
18255,1,247435
18255,1,110569
18313,1,414819
18255,1,62281
18255,1,149166
18255,1,307041
18390,1,457494
18255,1,223335
18255,1,347291
18255,1,301079
18390,1,3805
18255,1,347421
18255,1,232378
18259,1,158573
18255,1,405809
18255,1,367606
18255,1,161944
18255,1,77608
18255,1,142632
18259,1,194769
18255,1,198088
18255,1,377639
18412,1,23496
18255,1,488772
18271,1,455197
18255,1,127947
18255,1,480909
18255,1,165945
18318,1,21742
18264,1,555820
18255,1,375626
18255,1,494069
18255,1,87479
18259,1,139150
18259,1,117105
18259,1,247927
18353,1,162937
18340,1,31859
18259,1,143687
18259,1,121398
18255,1,70998
18351,1,16045
18255,1,352091
18385,1,187527
18259,1,236068
18255,1,500077
